"filename", "language", "Python", "HTML", "comment", "blank", "total"
"e:\study\fourNext\CapstoneProject\textClassification\eval_baseline.py", "Python", 187, 0, 22, 44, 253
"e:\study\fourNext\CapstoneProject\textClassification\models\baseline_classifier.py", "Python", 35, 0, 10, 10, 55
"e:\study\fourNext\CapstoneProject\textClassification\templates\index.html", "HTML", 0, 108, 12, 29, 149
"e:\study\fourNext\CapstoneProject\textClassification\train_baseline.py", "Python", 190, 0, 22, 45, 257
"e:\study\fourNext\CapstoneProject\textClassification\utils\simbert.py", "Python", 9, 0, 1, 1, 11
"e:\study\fourNext\CapstoneProject\textClassification\visualization\area_wordcloud_carousel.html", "HTML", 0, 15815, 0, 3, 15818
"e:\study\fourNext\CapstoneProject\textClassification\visualization\area_wordcloud_carousel.py", "Python", 75, 0, 18, 15, 108
"e:\study\fourNext\CapstoneProject\textClassification\visualization\classification_bars.py", "Python", -1, 0, 0, 1, 0
"e:\study\fourNext\CapstoneProject\textClassification\visualization\distribution_bars.py", "Python", -1, 0, 0, 0, -1
"e:\study\fourNext\CapstoneProject\textClassification\visualization\region_analysis.py", "Python", 15, 0, 2, 2, 19
"e:\study\fourNext\CapstoneProject\textClassification\visualization\region_distribution.py", "Python", -1, 0, 0, 1, 0
"e:\study\fourNext\CapstoneProject\textClassification\visualization\region_top5_interactive.html", "HTML", 0, 97, 0, 0, 97
"e:\study\fourNext\CapstoneProject\textClassification\visualization\wordcloud_generator.py", "Python", -1, 0, 0, 0, -1
"Total", "-", 507, 16020, 87, 151, 16765
